f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
2, 0.85, 1.91937873e-04, 0.069902331384, 3.20979536e-01 
2, 0.86, 1.21418207e-04, 0.070724710735, 3.25332532e-01 
2, 0.87, 1.25542640e-04, 0.071547090097, 3.28736324e-01 
2, 0.88, 9.72884681e-05, 0.072369469471, 3.31075039e-01 
2, 0.89, 7.64228411e-05, 0.073191848856, 3.31828363e-01 
2, 0.90, 5.93111256e-05, 0.074014228251, 3.30450803e-01 
2, 0.91, 7.33137436e-05, 0.074836607656, 3.26112059e-01 
2, 0.92, 6.80814872e-05, 0.075658987072, 3.17286253e-01 
2, 0.93, 4.57416503e-05, 0.076481366496, 3.01717806e-01 
2, 0.94, 4.09457307e-05, 0.077303745930, 2.75712631e-01 
2, 0.95, 3.10808854e-05, 0.078126125373, 2.32439406e-01 
2, 0.96, 3.35614711e-05, 0.078948504824, 1.60192974e-01 
2, 0.97, 2.39177233e-05, 0.079770884284, 4.09686975e-02 
2, 0.98, 9.23041393e-02, 0.080593263752, -7.89820740e-02 
2, 0.99, 6.96154956e-02, 0.081415643228, -8.06023169e-02 
2, 1.00, 8.42970696e-02, 0.082238022711, -8.22386892e-02 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
2, 0.85, 1.91937873e-04, 0.069902331384, 3.20979536e-01 
2, 0.86, 1.21418207e-04, 0.070724710735, 3.25332532e-01 
2, 0.87, 1.25542640e-04, 0.071547090097, 3.28736324e-01 
2, 0.88, 9.72884681e-05, 0.072369469471, 3.31075039e-01 
2, 0.89, 7.64228411e-05, 0.073191848856, 3.31828363e-01 
2, 0.90, 5.93111256e-05, 0.074014228251, 3.30450803e-01 
2, 0.91, 7.33137436e-05, 0.074836607656, 3.26112059e-01 
2, 0.92, 6.80814872e-05, 0.075658987072, 3.17286253e-01 
2, 0.93, 4.57416503e-05, 0.076481366496, 3.01717806e-01 
2, 0.94, 4.09457307e-05, 0.077303745930, 2.75712631e-01 
2, 0.95, 3.10808854e-05, 0.078126125373, 2.32439406e-01 
2, 0.96, 3.37520331e-05, 0.078948504824, 1.60143171e-01 
2, 0.97, 2.39177233e-05, 0.079770884284, 4.09686975e-02 
2, 0.98, 9.23041393e-02, 0.080593263752, -7.89820740e-02 
2, 0.99, 6.96154956e-02, 0.081415643228, -8.06023169e-02 
2, 1.00, 8.42970696e-02, 0.082238022711, -8.22386892e-02 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
2, 0.85, 1.91937873e-04, 0.059416981676, 3.20979536e-01 
2, 0.86, 1.21418207e-04, 0.060823251232, 3.25332532e-01 
2, 0.87, 1.25542640e-04, 0.062245968385, 3.28736324e-01 
2, 0.88, 9.72884681e-05, 0.063685133135, 3.31075039e-01 
2, 0.89, 7.64228411e-05, 0.065140745482, 3.31828363e-01 
2, 0.90, 5.93111256e-05, 0.066612805426, 3.30450803e-01 
2, 0.91, 7.33137436e-05, 0.068101312967, 3.26112059e-01 
2, 0.92, 6.80814872e-05, 0.069606268106, 3.17286253e-01 
2, 0.93, 4.57416503e-05, 0.071127670842, 3.01717806e-01 
2, 0.94, 4.09457307e-05, 0.072665521174, 2.75712631e-01 
2, 0.95, 3.10808854e-05, 0.074219819104, 2.32439406e-01 
2, 0.96, 3.37520331e-05, 0.075790564631, 1.60143171e-01 
2, 0.97, 2.39177233e-05, 0.077377757756, 4.09686975e-02 
2, 0.98, 9.23041393e-02, 0.078981398477, -7.89820740e-02 
2, 0.99, 6.96154956e-02, 0.080601486795, -8.06023169e-02 
2, 1.00, 8.42970696e-02, 0.082238022711, -8.22386892e-02 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
