f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
10, 0.85, 1.88928449e-04, 0.009416951113, 3.55609910e-02 
10, 0.86, 2.87790604e-04, 0.009639829818, 3.41875457e-02 
10, 0.87, 3.12122575e-04, 0.009865315291, 3.22417985e-02 
10, 0.88, 1.91937873e-04, 0.010093407533, 2.97053327e-02 
10, 0.89, 1.18624129e-04, 0.010324106542, 2.63391030e-02 
10, 0.90, 1.37836971e-04, 0.010557412321, 2.20445034e-02 
10, 0.91, 1.02589621e-04, 0.010793324868, 1.64250819e-02 
10, 0.92, 1.18624129e-04, 0.011031844183, 9.58255691e-03 
10, 0.93, 1.88804831e-04, 0.011272970267, 1.28726759e-03 
10, 0.94, 1.46394577e-04, 0.011516703119, -7.48912557e-03 
10, 0.95, 9.47648192e-02, 0.011763042740, -1.17636935e-02 
10, 0.96, 8.75389072e-02, 0.012011989130, -1.20126458e-02 
10, 0.97, 5.06753519e-02, 0.012263542287, -1.22647257e-02 
10, 0.98, 6.18033989e-02, 0.012517702214, -1.25187958e-02 
10, 0.99, 7.53388260e-02, 0.012774468908, -1.27752420e-02 
10, 1.00, 4.99511436e-02, 0.013033842372, -1.30349415e-02 
