f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
18, 0.85, -9.99999900e-01, 0.001492486171, -1.49252017e-03, 1.00000000e-09 
18, 0.86, -9.99999900e-01, 0.001527810066, -1.52784407e-03, 1.00000000e-09 
18, 0.87, -9.99999900e-01, 0.001563547105, -1.56358110e-03, 1.00000000e-09 
18, 0.88, -9.99999900e-01, 0.001599697289, -1.59973129e-03, 1.00000000e-09 
18, 0.89, -9.99999900e-01, 0.001636260618, -1.63629462e-03, 1.00000000e-09 
18, 0.90, -9.99999900e-01, 0.001673237092, -1.67327109e-03, 1.00000000e-09 
18, 0.91, -9.99999900e-01, 0.001710626711, -1.71066071e-03, 1.00000000e-09 
18, 0.92, -9.99999900e-01, 0.001748429475, -1.74846347e-03, 1.00000000e-09 
18, 0.93, -9.99999900e-01, 0.001786645384, -1.78667938e-03, 1.00000000e-09 
18, 0.94, -9.99999900e-01, 0.001825274437, -1.82530844e-03, 1.00000000e-09 
18, 0.95, -9.99999900e-01, 0.001864316636, -1.86435064e-03, 1.00000000e-09 
18, 0.96, -9.99999900e-01, 0.001903771980, -1.90380598e-03, 1.00000000e-09 
18, 0.97, -9.99999900e-01, 0.001943640469, -1.94367447e-03, 1.00000000e-09 
18, 0.98, -9.99999900e-01, 0.001983922102, -1.98395610e-03, 1.00000000e-09 
18, 0.99, -9.99999900e-01, 0.002024616881, -2.02465088e-03, 1.00000000e-09 
18, 1.00, -9.99999900e-01, 0.002065724805, -2.06575880e-03, 1.00000000e-09 
