f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
2, 0.85, 8.18469612e-05, 0.059416944676, 3.20947537e-01, 3.80929793e-01 
2, 0.86, 6.95931800e-05, 0.060823214232, 3.25175591e-01, 3.86663642e-01 
2, 0.87, 5.19040904e-05, 0.062245931385, 3.28522262e-01, 3.91659581e-01 
2, 0.88, 7.33137436e-05, 0.063685096135, 3.31018228e-01, 3.95334425e-01 
2, 0.89, 4.53103854e-05, 0.065140708482, 3.31644068e-01, 3.97805869e-01 
2, 0.90, 2.37598925e-05, 0.066612768426, 3.29707003e-01, 3.98266934e-01 
2, 0.91, 2.60743831e-05, 0.068101275967, 3.25281715e-01, 3.95157320e-01 
2, 0.92, 2.61278526e-05, 0.069606231106, 3.16497923e-01, 3.87874852e-01 
2, 0.93, 1.73070272e-05, 0.071127633842, 3.00199314e-01, 3.74000072e-01 
2, 0.94, 2.79489199e-05, 0.072665484174, 2.75489931e-01, 3.49810746e-01 
2, 0.95, 2.80323425e-05, 0.074219782104, 2.32471438e-01, 3.08341625e-01 
2, 0.96, 1.47819659e-05, 0.075790527631, 1.59303901e-01, 2.38224163e-01 
2, 0.97, 1.95696018e-05, 0.077377720756, 4.11969076e-02, 1.20938704e-01 
2, 0.98, 9.11295514e-02, 0.078981361477, -7.89820456e-02, -9.51860909e-08 
2, 0.99, 5.98546112e-02, 0.080601449795, -8.06024159e-02, -1.11976806e-07 
2, 1.00, 4.99511436e-02, 0.082237985711, -8.22390848e-02, -9.16912764e-08 
