f, N, nu 
1.16, 11.00, 0.03 
D, pK, a-1, leakEC, SKR 
40, 0.30, 6.09826263e-04, 0.001859152694, 1.08235608e+00 
40, 0.35, 5.13695801e-04, 0.002530513256, 1.10672288e+00 
40, 0.40, 5.90299763e-04, 0.003305160057, 1.11030768e+00 
40, 0.45, 5.13695801e-04, 0.004183093099, 1.09568455e+00 
40, 0.50, 5.13695801e-04, 0.005164312382, 1.06489847e+00 
40, 0.55, 5.13695801e-04, 0.006248817904, 1.01954881e+00 
40, 0.60, 4.65630569e-04, 0.007436609667, 9.60912846e-01 
40, 0.65, 1.29173950e-04, 0.008727687670, 8.90081307e-01 
40, 0.70, 3.45467491e-04, 0.010122051913, 8.08001336e-01 
40, 0.75, 1.29173950e-04, 0.011619702396, 7.15337313e-01 
40, 0.80, 2.43328875e-04, 0.013220639120, 6.12643630e-01 
40, 0.85, 2.02773836e-04, 0.014924862083, 5.00081369e-01 
40, 0.90, 1.27671912e-04, 0.016732371287, 3.76401921e-01 
