f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
60, 0.60, 1.62130671e-03, 0.002960604486, 1.55420152e-02 
60, 0.61, 1.66829970e-03, 0.003060112448, 1.59828697e-02 
60, 0.62, 1.58529295e-03, 0.003161265171, 1.64145285e-02 
60, 0.63, 1.62900842e-03, 0.003264062653, 1.68525246e-02 
60, 0.64, 1.28134661e-03, 0.003368504895, 1.72834188e-02 
60, 0.65, 1.14118657e-03, 0.003474591896, 1.77147973e-02 
60, 0.66, 1.29812920e-03, 0.003582323658, 1.81221835e-02 
60, 0.67, 1.04441567e-03, 0.003691700179, 1.85242755e-02 
60, 0.68, 1.31808681e-03, 0.003802721459, 1.89148813e-02 
60, 0.69, 8.13061876e-04, 0.003915387500, 1.92857328e-02 
60, 0.70, 1.00463719e-03, 0.004029698300, 1.96457208e-02 
60, 0.71, 1.00859804e-03, 0.004145653860, 1.99692767e-02 
60, 0.72, 7.09653792e-04, 0.004263254179, 2.02653660e-02 
60, 0.73, 8.13084394e-04, 0.004382499259, 2.05482706e-02 
60, 0.74, 8.91113349e-04, 0.004503389098, 2.07714000e-02 
60, 0.75, 7.20398003e-04, 0.004625923696, 2.09534697e-02 
60, 0.76, 8.08484763e-04, 0.004750103055, 2.10809696e-02 
60, 0.77, 8.14826552e-04, 0.004875927173, 2.11481902e-02 
60, 0.78, 7.24276037e-04, 0.005003396051, 2.11368573e-02 
60, 0.79, 4.29186130e-04, 0.005132509688, 2.10315902e-02 
60, 0.80, 5.04344043e-04, 0.005263268086, 2.08226487e-02 
60, 0.81, 5.02499874e-04, 0.005395671243, 2.04878143e-02 
60, 0.82, 4.95990499e-04, 0.005529719159, 2.00042450e-02 
60, 0.83, 3.73994147e-04, 0.005665411836, 1.93436357e-02 
60, 0.84, 3.10598348e-04, 0.005802749272, 1.84377158e-02 
60, 0.85, 5.29229488e-04, 0.005941731468, 1.72732572e-02 
60, 0.86, 3.64664912e-04, 0.006082358423, 1.58537872e-02 
60, 0.87, 3.21454526e-04, 0.006224630138, 1.40396045e-02 
60, 0.88, 4.12184347e-04, 0.006368546613, 1.16895220e-02 
60, 0.89, 2.37292831e-04, 0.006514107848, 8.93905264e-03 
60, 0.90, 2.84476530e-04, 0.006661313843, 5.53168772e-03 
60, 0.91, 2.65272331e-04, 0.006810164597, 1.56870704e-03 
60, 0.92, 5.02499874e-04, 0.006960660111, -2.74455220e-03 
60, 0.93, 8.13046962e-04, 0.007112800384, -6.39774267e-03 
60, 0.94, 9.44338180e-02, 0.007266585417, -7.26716256e-03 
60, 0.95, 7.63932023e-02, 0.007422015210, -7.42282092e-03 
60, 0.96, 8.02906611e-02, 0.007579089763, -7.57986102e-03 
60, 0.97, 6.76735066e-02, 0.007737809076, -7.73869474e-03 
60, 0.98, 8.74474276e-02, 0.007898173148, -7.89885697e-03 
60, 0.99, 8.54111773e-02, 0.008060181980, -8.06092769e-03 
60, 1.00, 8.72647599e-02, 0.008223835571, -8.22445661e-03 
